"time","sp","msl","u10","v10","t2m","d2m","speed","horizon","is_origin"
2017-02-01 00:00:00,101826.39,101824.984,-3.264678,8.207102,277.33472,274.82648,8.83258997588408,0,1
2017-02-02 00:00:00,100824.36,100823.05,-4.862424,9.09855,278.4655,276.77573,10.3163355537844,0,1
2017-02-03 00:00:00,100170.11,100169.19,-3.1097236,8.264206,280.75778,279.235,8.82991968699789,0,1
2017-02-04 00:00:00,99896.78,99895.625,-5.0636716,6.097414,280.1477,279.1746,7.925858159218,0,1
2017-02-05 00:00:00,100225.266,100224.2,-5.390242,0.15921779,279.31274,277.7984,5.39259298697913,0,1
2017-02-06 00:00:00,101299.39,101297.81,-6.694336,-1.5517001,277.81522,275.95132,6.87181982310625,0,1
2017-02-07 00:00:00,102168.92,102167.56,-9.810402,6.7727404,277.56735,273.5767,11.92115765886,0,1
2017-02-08 00:00:00,102551.73,102550.03,-13.349276,2.3947961,275.45178,270.28848,13.5623824634447,0,1
2017-02-09 00:00:00,103297.19,103295.92,-7.8596945,-1.5369036,274.34445,269.0518,8.00854982559409,0,1
2017-02-10 00:00:00,103007.664,103006.25,-9.4737625,1.5084199,274.7867,269.749,9.59309681495617,0,1
2017-02-11 00:00:00,102614.125,102613.05,-9.952962,2.0578809,275.41644,272.35403,10.1634800325493,0,1
2017-02-12 00:00:00,102839.58,102838.26,-13.296721,-1.6987231,275.49268,272.31177,13.4047920357727,0,1
2017-02-13 00:00:00,103509.1,103507.484,-10.492971,3.1437323,276.14362,273.3259,10.9537889874191,0,1
2017-02-14 00:00:00,103370.97,103369.734,-9.833862,3.4937494,277.13083,274.14203,10.436049382072,0,1
2017-02-15 00:00:00,103166.68,103165.3,-1.7326069,4.803522,278.8965,275.7683,5.10644203672299,0,1
2017-02-16 00:00:00,102628.234,102626.78,3.7295659,7.8386,280.6861,279.07062,8.68062853498771,0,1
2017-02-17 00:00:00,101896.22,101895.08,10.289939,2.227966,280.04468,278.1873,10.52837485659,0,1
2017-02-18 00:00:00,102581.42,102580.21,4.001683,-1.6853313,278.94305,278.25476,4.34209723788502,0,1
2017-02-19 00:00:00,101826.13,101825.055,7.988499,6.7375183,279.7612,278.27094,10.4503717214191,0,1
2017-02-20 00:00:00,101431.42,101430.39,8.544668,4.7698736,280.21167,278.43176,9.78585946098762,0,1
2017-02-21 00:00:00,100766.94,100765.81,8.401221,-0.07451606,280.4497,278.90073,8.40155145994113,0,1
2017-02-22 00:00:00,99837.61,99836.14,12.4859085,7.4420333,281.7242,279.9602,14.5355347582633,0,1
2017-02-23 00:00:00,99785.89,99784.33,12.106539,-1.8900492,280.2009,276.2505,12.2531862197937,0,1
