"time","wind_power","horizon"
2017-02-01 00:00:00,0.649,0
2017-02-01 06:00:00,0.781,6
2017-02-01 12:00:00,0.893,12
2017-02-01 18:00:00,0.909,18
2017-02-02 00:00:00,0.787,24
2017-02-02 00:00:00,0.787,0
2017-02-02 06:00:00,0.658,6
2017-02-02 12:00:00,0.737,12
2017-02-02 18:00:00,0.896,18
2017-02-03 00:00:00,0.675,24
2017-02-03 00:00:00,0.675,0
2017-02-03 06:00:00,0.487,6
2017-02-03 12:00:00,0.249,12
2017-02-03 18:00:00,0.282,18
2017-02-04 00:00:00,0.562,24
2017-02-04 00:00:00,0.562,0
2017-02-04 06:00:00,0.723,6
2017-02-04 12:00:00,0.34,12
2017-02-04 18:00:00,0.012,18
2017-02-05 00:00:00,0.157,24
2017-02-05 00:00:00,0.157,0
2017-02-05 06:00:00,0.547,6
2017-02-05 12:00:00,0.455,12
2017-02-05 18:00:00,0.486,18
2017-02-06 00:00:00,0.454,24
2017-02-06 00:00:00,0.454,0
2017-02-06 06:00:00,0.423,6
2017-02-06 12:00:00,0.845,12
2017-02-06 18:00:00,0.902,18
2017-02-07 00:00:00,0.91,24
2017-02-07 00:00:00,0.91,0
2017-02-07 06:00:00,0.944,6
2017-02-07 12:00:00,0.95,12
2017-02-07 18:00:00,0.951,18
2017-02-08 00:00:00,0.915,24
2017-02-08 00:00:00,0.915,0
2017-02-08 06:00:00,0.89,6
2017-02-08 12:00:00,0.757,12
2017-02-08 18:00:00,0.72,18
2017-02-09 00:00:00,0.612,24
2017-02-09 00:00:00,0.612,0
2017-02-09 06:00:00,0.641,6
2017-02-09 12:00:00,0.668,12
2017-02-09 18:00:00,0.804,18
2017-02-10 00:00:00,0.689,24
2017-02-10 00:00:00,0.689,0
2017-02-10 06:00:00,0.783,6
2017-02-10 12:00:00,0.764,12
2017-02-10 18:00:00,0.847,18
2017-02-11 00:00:00,0.726,24
2017-02-11 00:00:00,0.726,0
2017-02-11 06:00:00,0.807,6
2017-02-11 12:00:00,0.841,12
2017-02-11 18:00:00,0.963,18
2017-02-12 00:00:00,0.939,24
2017-02-12 00:00:00,0.939,0
2017-02-12 06:00:00,0.956,6
2017-02-12 12:00:00,0.924,12
2017-02-12 18:00:00,0.902,18
2017-02-13 00:00:00,0.793,24
2017-02-13 00:00:00,0.793,0
2017-02-13 06:00:00,0.84,6
2017-02-13 12:00:00,0.819,12
2017-02-13 18:00:00,0.872,18
2017-02-14 00:00:00,0.764,24
2017-02-14 00:00:00,0.764,0
2017-02-14 06:00:00,0.775,6
2017-02-14 12:00:00,0.751,12
2017-02-14 18:00:00,0.573,18
2017-02-15 00:00:00,0.234,24
2017-02-15 00:00:00,0.234,0
2017-02-15 06:00:00,0.209,6
2017-02-15 12:00:00,0.347,12
2017-02-15 18:00:00,0.641,18
2017-02-16 00:00:00,0.768,24
2017-02-16 00:00:00,0.768,0
2017-02-16 06:00:00,0.91,6
2017-02-16 12:00:00,0.833,12
2017-02-16 18:00:00,0.851,18
2017-02-17 00:00:00,0.893,24
2017-02-17 00:00:00,0.893,0
2017-02-17 06:00:00,0.813,6
2017-02-17 12:00:00,0.596,12
2017-02-17 18:00:00,0.481,18
2017-02-18 00:00:00,0.257,24
2017-02-18 00:00:00,0.257,0
2017-02-18 06:00:00,0.251,6
2017-02-18 12:00:00,0.623,12
2017-02-18 18:00:00,0.849,18
2017-02-19 00:00:00,0.875,24
2017-02-19 00:00:00,0.875,0
2017-02-19 06:00:00,0.823,6
2017-02-19 12:00:00,0.674,12
2017-02-19 18:00:00,0.611,18
2017-02-20 00:00:00,0.874,24
2017-02-20 00:00:00,0.874,0
2017-02-20 06:00:00,0.937,6
2017-02-20 12:00:00,0.946,12
2017-02-20 18:00:00,0.957,18
